business_id,length(text)
Ue6-WhXvI-_1xUIuapl0zQ,322
Ae4ABFarGMaI5lk1i98A0w,137
lKq4Qsz13FDcAVgp49uukQ,108
6nKR80xEGHYf2UxAe_Cu_g,113
Z_mJYg3vi8cPZHa1J4BALw,200
R1PQEK6qvrZVC9qcWfKvDA,326
Ohmd6oSH-BvdKxGcmbkQRw,236
Y-S2LhHefBdnX8VP5Bh_JA,792
NXoGguzSd3DrsaGRIQXLpg,1769
sBzefmmiXkEQLGvUNemPMg,1341
s_466owgNXqmQRuSluHHEQ,1917
zQNJwaWR1M1zDjLNVJiNEw,324
ixGb4NLfgD90wZHlw94rLw,369
gA2csG_QlBJy3HJBo2HXxQ,737
evbEh0qRFWlqliHOy62c0A,1848
5T6kFKFycym_GkhgOiysIw,132
2fqHO2vFbcwVV27c_Irm8Q,380
gFEXxi6HYQA1Kkp8uB0xiw,230
366FaRQ1MWEHBhaEKTcriQ,711
3kdSl5mo9dWC4clrQjEDGg,499
XI3iNUgChOfJk5ppjKVEQQ,402
4RoTEeqB_MNn6yaqZmlZHg,1016
j-WyPKVDSn4WGX1YE5oy6A,152
p3YqOYELqXtLyHz9T49p_w,582
kJAmLFgiIjtjULunpr3NNg,759
TTDMJetAQKfxVzKZy4Z_2Q,713
F73T-N5lRNL2Gcpg0Q4KKw,136
2lAvN0x40Sgg5-rG8WEj3w,3447
LkcGDfznt-QzjL22fO3F4Q,180
tqdL7aLotkmKIMHCczo3Ew,392
WYw3Uf56DT5IwpaLNnCH5Q,1128
hihud--QRriCYZw1zZvW4g,364
WNsimvxr-0NimM57I5gj4A,569
16tWXenJ1wTqugXJU7yiZg,145
omScOGJlpuxa3JZtPc8CNg,103
HVg-pAPpQ1Y5VdWMK_Aemg,347
J5ylw6DXGmQ6hM06Ne3XHw,327
5BPv_vAnRp5EKdmacqvrLw,1168
VoXUt6TIJWyIf_lihbN5xQ,287
OETh78qcgDltvHULowwhJg,401
NKm5pBzfks9gznBXs9KqvA,280
b5ECorQloTnA9WLF7UCfxg,1288
UXXAzmuz2olKSpte9eF4Vw,380
y7Js-07RF8d3N_AEtaw2VQ,782
MIC41W--fEbl25WKkReC3g,143
4JNXUYY8wbaaDmk3BPzlWw,127
naPGOTVEpRZavvn9-sFg8A,201
WQIvHDD4hNa8SDVxdQt56w,1018
JmI9nslLD7KZqRr__Bg6NQ,183
hAN9gVT1a1i_YRdt74HapA,1838
vh1tPEaPioD78QmoqnWXpw,211
afBlLAqZM_plEy3EFnzYPw,363
Q3UkgxNNInsPcUFhsQFcrg,183
RwVXPEFAuTHktV2dAqDkNw,743
zLEvIXFzISHfYXSOmZQkjw,99
BjH8Xepc10i6OhCDQdX6og,114
UKUiJtXl0kXIUgK5tjReIA,493
r6igU1Fqs5szOOhyXPbayw,648
Z_-c3FDbd5TC3K6q8SPAng,488
hi-TrOl78G4vRHkhzD0DxQ,211
-PbCfkydmvuNcG9VG_ixkQ,2190
RESDUcs7fIiihp38-d6_6g,354
4pcdY5tFhAUOFK5lG_tcuA,277
IDZeWX9-5yMVMViuOY-PmA,436
yyHwx6RJ-HsXZnDyeH11GA,3051
xmvvkp5-O29l3EQQFEf3YQ,142
qAg8GkN9rforFWmGxBqVqA,800
sFPwx3V1kzXP-N6ZjqAk2A,907
yxdmX8dXk5Se9zJ4WAW1pw,923
5CtxJzh1dVC6AkWPzGvW2g,1019
-yZXurhfOYlNKmH0ZyNGIQ,1030
6lgRm13PvA6iMGc7PmqK9Q,303
R6jpwPBe9edy0P64uyaLKA,453
Sy75QB18Sv-xNp8FoA8KvQ,98
c0t81YxNqZQuTJrTfn3QYA,110
i1Xkm22_96GNVVOXSUoL0A,361
vCH_lMmReZTFofoMCgsjkw,404
ATi_nyof_4WGpmtHoc53dQ,251
hTe5SavBjp3zRulupZSJew,168
IMLrj2klosTFvPRLv56cng,939
g2qBncrNraG9NLRA5Om1zA,66
G32N8Tr2LyvHl4FnUTt5pg,292
2kT-5q2h-117H9BrF6uS3A,939
rJYZyjWH_GCMv-JZdykv6g,812
Jt28TYWanzKrJYYr0Tf1MQ,320
AlGJCDUJ7EA797DsRCdeiQ,293
ZP7U4qUCMjIvasWV7a_mgg,1628
RJNAeNA-209sctUO0dmwuA,86
ECXHwaJW7Lc7qDlH89Syaw,213
aeJojBE7k6_vSGNec3Z0OQ,413
7SsVK3dvgDrEaZpfxd33nQ,457
tqF5zposxuU85LXd9uuaOg,113
eEnNw3_hBvxcFHyr23kAuA,999
4GNsiTBn8YJaF7Z4eT3gzw,444
HnTxuZ4F5JEj2RfF3gOV-w,270
EgilPuvZVfxoHd3F3XFs6A,725
aLcFhMe6DDJ430zelCpd2A,315
tH0wF3EPPgAY14lnmK1_Sg,96
07gh-AImcEcWQ2bew-jprg,1219
02eH78Tc5Cxxy-CIqhzx-A,111
LsjYGLrWe6psx1y5m2J-4A,320
BEeGpvyh4Ufdkmf4JGItyw,278
30Q5xBagQHmkwp8Q9I1FCg,562
dM8Yp8StA1NdusK5Ta_j-g,268
kO1-ZswCgQak2beKUMaYRw,750
quOJ5luQ9yqYhaCm5XYmPQ,198
ahhUo1W0oVpz5psb0KvXlw,1211
wHgiDmpVKv8CeIybGjTRvw,531
rKCagFbRErioKUAOow87tA,464
1RECFIhw6tdiP4l3smu6Kw,220
d6G0w_e3GaA90NSQeovShA,557
1m-VowYNt6lZovacaIZRnw,389
0TLWjkvhgsq4TMFyfWVPpg,111
oiTq668GwyXo5hMHjdW0kA,392
USqI-Et2YogRkMF7WxFkyA,1213
6nO-Ti2PjgVRi3LHIymiyA,553
HQpMwOOrGND3GaRqMNV9ig,147
aLlREPOEtt3JzeDCagHytA,596
_hIVYVXr2kjjY4ImdXuVjw,604
tqyXPBc11DbHx4BRZXeLZA,769
K0hEFxUJiwsiLOnIm4tHOw,1574
gnKjwL_1w79qoiV3IC_xQQ,324
7eQoxWr9RzyCB9IFvqHUPA,186
1VMccrsa7R7nzDR37HksKA,903
1MrSwj8i2VEBHdp3IsWCpQ,190
nepzpPC8cdnp5Bv0yoYu6g,113
YT9oU3QJl-uqbv81MyE8Aw,707
isYj0rlYyUv3bUd4ZChxlQ,1008
z6-reuC5BYf_Rth9gMBfgQ,694
ZO2-nQjKZBoZUSOzJb4CUQ,377
MBsIf01fcA8Vy7vCMMKf2A,1563
BgQ5ob0QiZfO5YbgI7VyFw,426
eJKnymd0BywNPrJw1IuXVw,292
d4Myyrs6t2848Pe2p8IkCw,86
mD7zqv7Y3kvsa_p_MtTayg,387
aD0UdH_oM6ReXrM3EOuQ6g,214
GzAs1oSFEjgnVS5HwrYKTw,525
AUes4OUyO4moaB6WPi88cA,543
-Ht7HiGBox8lS1Y8IPjO8g,573
VQkrYJgDZIDsnaphQh1ZDw,139
-s_U95xEEmJu5GK-srqpUA,165
gH0E4kqHaWjxoRtin7dmKA,637
tOPqk68NwU7I_YcTM11eaA,2311
JrXxQKt-TuHG1-ZjZifa1A,619
CSamwh_y3gOSg0Z7tyfJpw,804
3zyt4IW7Ic0yyeiLV7hk_w,588
BslEhCyzaQPfpHtDogb4hQ,475
XXW_OFaYQkkGOGniujZFHg,606
nRZjrWIzqKc26KjpBG0fHg,182
PlJMs0vV9rIS9jTjSPoKkA,1153
BIM2l1FvxOW-RU33NKdPnQ,476
PRrHl-8NqWmK3-YD-4lHMg,150
-RYIKWBSTaJ21B2UMyzI-Q,459
DCsMThgF1Dh84DxmLOutWQ,1821
SgroLkIp8nVHfTaYS2Dqgg,166
BR1aiZ2t7n_7z19HRAfH_Q,2117
buzXlOCvxtohdMD8g3EWsw,392
4ubvNMCunbZt0NrVqySXPw,217
UTXNr62dGSK-tet8OeXUcQ,259
wARHuTYZVsTeWo-1fK8-rA,543
Do72DKBclgkSPt6jZ9-c4Q,461
du9_QFb75sxzKnLLQwSkMw,131
GujHWwlEn8VIc8-fM2uHOg,296
HD1k3h48-kZ_VkqARRSHeg,2080
txmqJUpS1SPiXPzUy2PgQA,166
bffQssCZ-KpA_PPIu6Vysg,472
u9iy3hyA9HpETKi9qns__A,162
47i-sDR00I4WTOFZE5fIww,2399
DhD1sFqgtjg1rsIWuIeTng,168
nYpxA8exNB1VPuM7XYS7fg,151
8ro1QnWbUFZr6hJ4aOy3TA,666
YIufig-jiTOUT7G2BCYBxQ,279
JuPngDeQHVgBLH-VIET_ag,1207
4HEF6BuO_BBsTmvcMCbhhg,205
pdgzBiQBs8HGUBJzXe9j6w,340
r49iBfbnfoK7yt4rdsL_7g,462
YQFcxE9UXrKc-QuTUu7twQ,1553
G5or_Fra4-6IYOVlm_dI2Q,324
m-VkLfwvmEZWmpeybI75WA,379
X2aUuVPiYovaQvXG_NGn7Q,1148
Vxv2scHFtClsWGuA7jQG-g,424
ccTPR5dgG998PIwQn_cCnA,2893
rdE9gg0WB7Z8kRytIMSapg,273
C63sF-wG4f1doMIMv2qvOg,393
lvLEEV3zbtsOctmBNXxC5w,523
mayw_F14qtTiNcEXQZ0cGQ,824
8olG8J91NG_QU92WHG5QfA,186
3PsmvwxetLz1Tzb-6mNhgA,1997
48vnBJK0B95JpO0_OMrTQw,257
tIiiq23utFKTs1At2bVD6w,215
zBD6zc8YU-TA0_KJmN1tpA,667
KbBMhk_G57WQ2M_9srNbCQ,965
y4ETe3DkcIjjr_eyeg5U5g,1047
7Ny2GHLw8xl_kXfhfrvh5w,357
v52iPkTHYOt5t2O0u9aeFw,487
F69E-AY9QDea9YPaxokILg,1259
xiNJk32NYbXdL-T3PzE3lQ,263
X-WXPGYuuknAjZkpYGeRiw,224
4Dqv3RVR7faMYfeJCChdyA,223
hLrrgQwn-K-IPI8g2etAoQ,381
pHpU8lnnxMuPWRHOysuMIQ,1135
4OUGSeQeASZGn9nSb8Ialg,1008
IL3qkg22Zb0s8B9aJYle9w,190
gTlDDzDEHyDQ6iwjNhpI6A,481
w1ol_XSoisZxgVwbrN0pUg,334
5MbnCl55_ARfILMU_n2T8g,284
eLFfWcdb7VkqNyTONksHiQ,364
3oFYETX991A3eAPaVF5aew,960
jlcnzJ_0Sr2w3l7Z9HaVow,1439
XO2hZb0xC8jTexSHG4SxFg,2147
M27gWyT2EpCCj-dSnXDJwA,194
VJz2DcvX47i-wqlQ0mQEzQ,112
V4OyQ33zfLSHIMaAX4GwrQ,753
ybi4IdU4Cu2zgPJ1YVM44g,153
j7MeCj35oocNkfvuWntDrg,581
5LNZ67Yw9RD6nf4_UhXOjw,1647
OY0-hYJ2q6WiAqhYnCZZ0w,667
Xpj_tQOGwRaicZKayLVp0g,213
SUH0cMrRsysIu2hKqQQKBA,624
ugLqbAvBdRDc-gS4hpslXw,635
zpLOsO7DuxcwwhmHtiASWg,414
Rl6NhS6S-Vv-HuGlQUVvRQ,1970
Xj7DIGRHEchJ-VVdISazQQ,120
uBGPTzye3wrxZPf54AXuFg,894
xygPbP4DlxIKViAqN6APDg,366
wl6w2VNMA4g6O9lu7kTvFA,462
N84jiqVLJ9U4jtCHuFrVKw,118
5EIJCSrXLHvM2HEoKCejpw,377
jZ8ogksrNzUmREJggc1YOQ,215
eS29S_06lvsDW04wVrIVxg,103
gblAhadCzFP97Gf5pcFZiQ,577
dHqTb71T30aHth_3sKTCBg,582
HC7EN_2fX5wXms1irhfqqQ,631
3fUEtSJWbEOyS01kYC1bDQ,121
hLrrgQwn-K-IPI8g2etAoQ,609
IsoLzudHC50oJLiEWpwV-w,817
9dqdzRzjSfbnMvjUGqWBAw,140
_nmOWqgx_KdLrj5pehDQmg,174
7mGZrCzGGjS95SdRtEaGcQ,804
sWh-N7K3ebRHZKhhH01mJQ,303
Net_BZG7t8JRLjXxNtvyNg,138
GSlY852DqQuYWCSZNORTnw,284
HwjhWHbNp56t-dRiv3-wPA,822
uJHlCut6RCaZGPm2iFPuzw,168
uJskEypcuwx_WhCWiSmJKg,1230
nrOxXGd3Vx6iz5xuIJT8cw,372
WWtUCY03C7Xpoj0z9wKMPA,677
8RJYiN6asLcEWWysZKEyVA,579
B-ImbhdbVX0O_ulCZE8sQg,1714
kkD0tv_e5E6a8kRpLYEcaA,156
tnG4_L5bZiffTbaFru9EBg,111
Gx1i3fXHzKkcPYrxTCGeoQ,116
pSQFynH1VxkfSmehRXlZWw,1963
Tpx8tScjNW6noaEgZ1hXFg,204
HGdk9u3YIEkUsS4nYP7yZA,197
gSPqD1DR3lzgoaifIhdF_w,213
LYWbyu1EQM2o5hwHG5_Ldg,343
uPa5hrWmHm0n1l4MSyVMGQ,1410
KwKkNTxYGyo4H6pKZ6usSA,551
DgZ-pZUo3drzpiCDlDr9IQ,281
JpgVl3d20CMRNjf1DVnzGA,218
8I5U8OQ06nSxX2y4PPOWzQ,210
Tl2fg_dHf-skxmFD_KXUKQ,776
WC94uZjbFJEHwiPL6y_d7g,293
LpJvitnw7vU5UW-3KE9kjA,530
c-l4nDPZcEwapEiV-Xf08w,1212
F8lic8uN9nhbRjEtAn-cqQ,244
-3zffZUHoY8bQjGfPSoBKQ,333
-uIE_UQENfvCuw9uzBnRPQ,381
gDHmIvhPNjUuV0AGeZSwpw,176
CztDemHy1q1f2R3VV9jmvA,716
bNdLi3Vs1HNn04CaO8qBgw,347
--cZ6Hhc9F7VkKXxHMVZSQ,1142
upxEHDxnEPwuts9xY0ylng,138
STRYWnGR8zKxG__m-CxSEA,532
osaAof7PCiXg6GRdUjL6mQ,341
ztmIXLuIAADzuTa4skUTgg,712
NGhmpSDZmg1shPOVdsHgBQ,199
TvxvsiidWhxS5Uhbp6830w,319
g-E12y45gBKedax5N20YmQ,256
OFw59czUoeeosFMKfRawmg,234
mQ9sBO4jSO_2W-0_mb_SNA,355
AWaxaKm_YgTkxbW8kjsmdg,167
XH2TZmZt6gzHHpjqk8C6pg,802
xnLNPkL7bbdhD842T4oPqg,99
odVKlMYqb4FHJXManv-VRA,204
NQhPS0MUKJgBUB6PTLlmzA,258
p9v9Sl2g_ibaajWvO0NjkQ,1342
IVKVk7ZAPdQi6S40UX0zyg,952
qIPQBPurlqbi07MmJ1kXTg,155
aWTbbLcB6JDfVgULuIFxTQ,554
-7PX_FOoCwktlunImRyZdg,282
xtYiHTmunjfCN2sUaQxBjA,987
S3zhwWlM0xSYU8tJeYGNRg,233
0KFA2m39eZwq2F7WvMCoyw,279
qCKF2PTQw150NxvfEREeMA,307
keJGpYownJ-j2zQJ5huvqg,373
OgJ0KxwJcJ9R5bUK0ixCbg,141
u-R-bYamWWvmsokbXAkFVQ,780
bExjzvmptH5JErW1vb8vpA,495
xL9EhlYVMSe2mdkisYjXog,670
IkI9yPjx-MRYh-Jh-LqIiQ,173
5QkfMhF0KgK28hMYOKngRw,298
KjjNv4YFzBFnsBh2ncH1Iw,404
ngRLl-vKZxkA2VLQvTFuCg,89
j-sioijZPDgVT8RUtkCI5Q,363
Nk3ArXsszbpYiUXKUY38Cw,1009
UsJYr7l0fOaQZG223BbpeA,1432
pRmb8_tAP5y4YPt_viL07g,496
X8c23dur0ll2D9XTu-I8Qg,77
hmltG5aNY43I0NVMGTmPHw,319
ZDe20ANksQ-nCjtS4jDxGA,292
p8s1FRqkmxa4b_65fAqRnA,611
wmCBxE0PfLZD8sxIwAY59Q,1946
cyNrnSMku8hKkXP_KoY1iw,280
EwUM6gGMBhrjOef0wmqKJQ,532
fSJFRzOF92gBuJ2ePitCEQ,217
BcMScM5suAiaHQa28v8s6A,110
vs99Jj_kVyuRtDl7rxXH2Q,533
CD-N5vYkLkNE6b5YfhlR7Q,898
cQNGkOyCvnIqs78vO8SGJQ,141
m2PIswvBzKcoCKXjY2lmhg,210
drbFGv7CoLDH2OheDUwUQA,531
ki-947veLsGd3MUdVcLuLQ,112
_3FxLxdg1unUQc3QqIgJuA,841
JDZ6_yycNQFTpUZzLIKHUg,149
PlP0c_u3g-3LiWHpb2XnOQ,1837
hqOsV1nimZwMnu5dj7op5Q,100
3tiEjjBtdfV5_npPNzs0Cg,555
OUkYV6UbKHMDZItTerTsZw,225
ThNGovQZjZ5mn-ZwX_N2BQ,1242
01Ov9eDxKRY5k6ImMdiWLQ,508
OK0ba4X5seibH8oMWh4bhw,168
sWwCwjsd27k0Y8m1RIWZEg,288
N6TlJ00AYkwb5P4sOiR3Xw,741
wGfB-tk5yoGOh0qRudbRbQ,288
poX-2lODvtmkR6pve8FXFA,367
OJRWBKlt-cjkVBXR5xU5Og,370
XarxHcmxyjvhzoROMTLyMg,1565
X-b4-QvZLENnf3yFwhpSXQ,403
ujHiaprwCQ5ewziu0Vi9rw,1175
QJR4qBUHegWEozSQrGmBPw,1132
rntKF4Dm9JIJoSNi5XqRsQ,1348
bzI2YREsxDomhVvvaZmcSw,1042
WBOxtfmLPWxbvpi9tOj9tQ,251
fRBrNhvP9qbzx1DJfLVYYw,545
-8QlV3b_9H4BAh6LgMIr1g,304
ECOkEVUodMLUxvI0PMI4gQ,917
_2O4E4qEnfSKWGnopxRxtQ,357
TwVtAAGoD_AEGzjH--DAyw,655
hlrZHM4D48XiQtXh6cRg_w,1867
T64FH66qs4EN0d0ds2f5fw,717
2z7xERz1Nonyw8Kjr4SffA,134
or4UVDjXEEjze3wNPjoAZA,891
VUEbOHYJYcnmjfsnxCitiQ,222
esBRj9uPRzwxaW4Lz1XGLA,861
TpCgMv0KrPIP_leKzFn1Fw,1555
D9iGotN_nI8MCzVpISep9w,141
GmdujALb1Nq2RHGr7jhCaA,180
KkmPDIWzvwbBpyqOHT6pcQ,960
0zoXYHq82haayMaV952jEQ,531
4_XrzTImR7calqcE6Otyaw,308
GWmoiD-0jjEj5EaMfhhJLg,335
I7MfLHKHuEwSRab_7Tclww,704
Pm6LSrQySKyLS5b_a6CGSA,314
asbO7KLh00WrheXa2-IjDQ,374
CrEoGEQSEBCSyEk5BY9O6A,108
KGpsB2dsdkxl8SGVUlJbZw,106
hXXR6kzpH6RtglxLU6H0vA,989
BLIJ-p5wYuAhw6Pp6mh6mw,1468
ndzT1maiVwpz-7VFFzAb5Q,151
AvVltahnosGhq13FwalXHQ,369
3I7xY7DjWearTz7d4TGdbw,226
HGvNE87fvK5PwKMZBDkTbA,151
ZrFqa9sUaF_X8wbNz29Qbw,371
_AVXgkX4DiNQAQj_3tNhFQ,995
BDV4499NWVKQgQQ5FjPd8w,543
zcScEL0WEdFkROcnz5379g,257
czyhvf93Txsfxdxqcm16mA,929
hgJs2Fhby9hLNFZLjrUh9g,189
FCP5hYaTtn6dkpmZ_NTvEw,757
QqOi3jkuyvhlpy_HkJAQ5g,460
cz5vz-893D3LNH3TMQYR1w,710
Ec9CBmL3285XkeHaNp-bSQ,185
ErTB7R4rJNUUV8nsUVG26Q,493
cTbFJzHQzFSX-z3JF4abKQ,458
shIPnFoXrL3dFo5HLH1_HA,625
JTFFtWy_chbsHTs95yD_2Q,189
gS71WvpuXgHUAM2OgZHorw,101
plWuv4gda7m0KlqCNhrb4w,939
SpXBHrRfXJdocVkQa16zxg,365
VyVIneSU7XAWgMBllI6LnQ,72
J9f-9Prw2YVM-fiZqv2fmQ,388
ruPFtD9dU6Cv9_wpzIR4UQ,1145
CuIPocteo1F3LEn1OqUoHg,269
ZxenKVJHFNaRJ1vzKhF69A,592
2OFWvbHVwvnva7GxP4wHQg,864
5z1WIr7E9P2CSzyN5seeSA,1917
CVrySTnC86omXXAm0GJMyA,462
mRZCTkOgDc28VWYMvo3nVQ,105
Zn1XufFEiIGLu7-4x4jesg,1518
iWLNyADtZsORV58bttRrBQ,1328
a39B-BfbCipNkNH7vwCfug,373
GdlrKQaR_BHqAQ6WO5UKSA,95
bZtukyhyV1oVmUU3yRBPbQ,64
pGHyYl4GrwSg-BAu3laYsw,675
PqSwcDrL1wrwal8hlDf8IQ,739
uoUa8ugZLrly0bA268IqEg,768
QGTqGNLZbBA1QD8L_fO9ZA,972
Bx7SDDMr5Y278PFIy0nsmQ,137
7Mz8NRXlZRaPt27mOzLnLg,130
VRTfAP2DjvUYxRY3dw37hA,3330
utoTa3Ngv_oSfB5TIMgN_Q,210
cTZmf7B-4yciMc1WKiCVOA,1548
cI7k9zqs_pl3byUDE4cpdA,612
Q_gMPtjsIlLY_aUvck6iSg,1762
Wg91oE233AzNieNryRJYYg,1687
TLbx_MR2dyFztoyR5d9H2A,301
-yZXurhfOYlNKmH0ZyNGIQ,1503
XHviODj3T9hesQPDGdPE1g,881
PHbkMZfvjeFtMusycJWLaw,330
pGyv0WO5Ot9L_qgausyorw,308
eEnNw3_hBvxcFHyr23kAuA,1762
XjepvTIfp4iqGq1orODedg,255
CxiIbjREu13yNaQfqbf_SQ,932
bVE26iEtkEsAWZHMVyAPeQ,711
Ls89UV4aSRE8eW2Pj_LaWg,2511
GJ_bXUPv672YwNg4TneJog,1232
6EVBc9kdc3Hd8KZkLVPnGA,128
KtSEqZbGV1WHgOgtSMEZFQ,849
P4lfCI0WSaVoA2VFdsZRiQ,412
lTixk1IT-D4hoMZ6LgoyHQ,430
JzOp695tclcNCNMuBl7oxA,468
DC6LVnt9BVa8BkGYPAU75g,299
LR0_oa52WI3XaaiVKfrD8Q,108
95CCHowiE0W_ovv5-9lQAQ,478
15LVDu1_v97JEx-g97wnfA,357
NSifXpsCRvnsBRqrHF9CJA,452
pHJu8tj3sI8eC5aIHLFEfQ,154
HnQVDNGFWOS5zle0dhpOkw,898
dA2lVg79LtB5kMyx3dIANg,255
DgZ-pZUo3drzpiCDlDr9IQ,304
tjqK6lgvoIbRkQ7QuKRAFQ,98
TR1T1vq4UKQKlrg3z8ALXg,1328
dwogRZ8Vdu7Pd4qSN0UwXg,1945
McZz8few5LqWF37KZTK_QA,1469
lc638f5kBdOq9yAMyoURWg,1045
6Q7-wkCPc1KF75jZLOTcMw,435
dy9VGj4N-sJD1bGse9y9Zw,1064
Gml97gSULiA6HFjie01d3Q,99
SjgeuBlgKER9yegpoxT99w,267
VdiyAGkBzmQfN7ajrluTnQ,194
zEOfVGv6DeprEzmFYMFhXA,570
pWmNUVby0659HXN2B010wg,315
_skmB-CPcMOJKqeuFMWrFg,692
25m6rM6hFw2CGADUjbYKXg,460
kOdUMpzZLGXIh0Y4MmiJeA,663
lB3luPvPfKcEDdA6mPxXgw,311
AMYbCa1ipEuzjswsR-1qAg,254
_H2Q4Y4aosi-svXyfZIaIw,130
WrHu03srbhJAw6bnTIixdw,393
EdY9q_JZPRzzxn4Fh0YLBA,330
GzNbN1Y2OWVk_QJ1zLZbtg,181
VGhyoDJRrebP8ZKWx9L8Wg,131
aGDo7GDN5YLvpYykpSLkbw,313
lHYMeXf8JH1Q8Dazn9s3Gg,123
LH-DYCy9v3kM4JRtpcquxw,549
OVTY-NpcTA7iXbMQmusv3A,356
rGUWZIMxfnsLuOKJVXkQuA,1514
qhXwFR1kCJW23ShXCbBAhw,1118
qeJnMI5RmyJ2TZvkqvjn6Q,1303
5FrWyfEABSrv1ZmvoEQMAw,224
caUPXiOxvLGMsorJBtNlhg,103
SYGoFUdLLPyh1lZ9_nwOUA,40
XWulhWA6oI7qeXub7K30tA,1543
Fg18KJ6zAEVLZ7jM7kJpwQ,980
L23Lyc6sivNhblzxHiecYA,495
Axz55vNN-HHUeXpSOodbeg,3527
YNHvFEvp9VDNwX5VhRanYQ,911
g8OnV26ywJlZpezdBnOWUQ,620
5mh7MOaHPltikkccSr-t-A,171
5zOHIPTIVj0l9aDn3n6hdQ,736
rdXAuI2fKilcf65W-QoASQ,271
gHutuGMMMH-5Qv9DbemLFw,1454
LR0qF0FEVsCOhYWUOiH26A,954
gChmBjLSe3qa8rzEngoDLQ,311
v2xh5qtrlRJSU3OnixJH2g,1405
RazK5AssZZ9l_W6h-bTkUw,137
nyB4nkT993gq0Lw8sWWwGg,259
qmymSqVwHYRqdwfcBatzpQ,334
SR0Q2hAEMJ_m23O_x-khSQ,126
AbPQf-X7awuPFDULiJ43bg,517
eoHdUeQDNgQ6WYEnP2aiRw,162
E7VRsyNQWPteH6_qI4j7bw,264
hFLIA21X3y9oFdQS-OEpYg,307
_ugTRSY8easGemi8smdaHA,582
ZpMoI5EECS6Rm7KigN1gPg,291
ax4ztJvW28xgGvI0OPqGcQ,1086
QvPheSB0kI_rrsyM4xAznw,682
osaAof7PCiXg6GRdUjL6mQ,265
cldHnldJ-9PbhcXe73CiTg,113
BIBWGO_r_1znnlmLbp4Nxg,1730
lsXRQ6DxyrbMFhl8croN8Q,310
lrAUseySfmFeZkWOGfsKnQ,121
rflwC4-PPTXBS89vK5iH7w,418
5-qYtBErnLUh02n9z2Verw,482
EJc15a6zqP3iKqz2uGU_Zw,235
_nB8HNT2IDRhlAoY9TPYew,216
BIBWGO_r_1znnlmLbp4Nxg,1007
D_cSpOD5fYkCE7gJC0_Vew,402
vIr0LbBNDTB0HV0DZrnk6A,171
lOpz9DxyMVfLKbET7EVdTQ,572
N6MzDoao6s68nAIW8vS9dQ,1527
RJdSwvgAd2TRdQw4iOsrag,484
UEvT2XH9RVFaZQqmw_f4xQ,1086
wsMQnxDkRvoRZZ9u-TTyqg,214
hf-bDGKfoM4lyxrlpN92wg,149
0ldxjei8v4q95fApIei3Lg,676
HhVmDybpU7L50Kb5A0jXTg,401
gPUmMHjZ8U4LL2GQ3MWlXA,522
ts0_WrCwtz3qvJU50GP9Rg,830
LXheNwqZPoXuXNNeP1sNew,450
9agd0jglk49WQldsqGfNDQ,307
oDdJD8mwqCtR1tOP4EvqgQ,727
PXN0l42g6IWp18NGJ7yn5w,335
FLMxWQO-ckCQmGZhU9OQgw,637
nUfeYJ_YEaDzggPKnYry3g,149
Tgc2dTcE1xOey2OUt_PvXA,208
hgo0jDweUcHMHqNDnQQm9A,687
Hsn3CYnTsrQ2nJzTKefDQA,917
-igpUhnA1b5iUK6rfAtuPw,267
ZrFqa9sUaF_X8wbNz29Qbw,909
eab04KSBbf30FqB4cH8erQ,818
r64n5_4dwTJ-qHZJgJGz1w,92
mlCDsdVFuZvRGrJTfQ6amw,534
_3lIBvmGuRzry5FNN1WprA,389
GVT9RQMCqPiHw231ncehFw,109
LmUSpXHq9OieVY8zpr88Sw,226
V-M3ofC2sdpYQpuvkc54Sg,467
8bYXg27QEoAx7us15eIL5g,115
